Name,Nation,Club,League,Position,Age,Height,Weight,Overall,Pace,Shooting,Passing,Dribbling,Defending,Physicality,Acceleration,Sprint,Positioning,Finishing,Shot,Long,Volleys,Penalties,Vision,Crossing,Free,Curve,Agility,Balance,Reactions,Ball,Composure,Interceptions,Heading,Def,Standing,Sliding,Jumping,Stamina,Strength,Aggression,Att work rate,Def work rate,Preferred foot,Weak foot,Skill moves,ID,Gender,GK
Leon Bailey,Jamaica,Aston Villa,Premier League,RM,26,178,77,79,90,77,73,84,33,62,93,87,79,78,72,65,73,71,77,73,79,79,85,84,78,81,75,21,57,45,25,18,76,66,61,55,High,Low,Left,3,4,229906,M,
Yves Bissouma,Mali,Spurs,Premier League,CDM,27,182,80,79,72,67,74,78,77,76,71,72,68,58,79,75,65,58,74,65,75,62,72,77,76,77,79,81,65,76,81,76,76,78,74,76,High,Medium,Right,3,4,236480,M,
Jarrod Bowen,England,West Ham,Premier League,RM,26,175,70,79,77,77,74,80,44,66,79,75,79,80,76,67,69,70,74,77,70,71,77,81,79,81,76,37,64,49,40,36,75,79,63,57,High,Medium,Left,3,4,224371,M,
Dan Burn,England,Newcastle Utd,Premier League,CB,31,198,87,79,51,34,67,69,80,85,40,60,56,25,75,67,22,48,60,68,46,48,33,30,77,67,75,77,78,82,80,77,72,78,89,85,Medium,High,Left,3,2,198032,M,
Matty Cash,Poland,Aston Villa,Premier League,RB,26,185,74,79,80,66,71,75,74,75,79,80,71,66,73,71,48,44,66,77,48,66,78,70,78,74,72,76,49,77,77,78,69,86,68,82,High,High,Right,2,3,227174,M,
Cucurella,Spain,Chelsea,Premier League,LB,25,173,66,79,75,68,77,79,75,74,78,72,76,68,79,77,55,59,76,79,57,78,77,83,78,80,77,75,55,77,80,77,72,86,66,77,High,High,Left,3,3,239231,M,
Lucas Digne,France,Aston Villa,Premier League,LB,30,178,74,79,76,69,78,76,76,74,78,74,73,60,77,73,68,60,75,86,83,83,72,78,76,77,79,75,70,76,77,79,78,80,69,76,High,Low,Left,2,3,200458,M,
Axel Disasi,France,Chelsea,Premier League,CB,25,190,86,79,49,48,53,54,80,84,40,56,42,46,69,64,36,36,54,25,27,45,35,34,79,63,71,80,80,80,80,75,80,72,92,78,Medium,Medium,Right,2,2,229942,M,
Eberechi Eze,England,Crystal Palace,Premier League,CAM,25,178,67,79,77,76,77,83,49,68,77,77,76,78,81,75,69,71,80,72,70,75,82,79,76,81,79,52,49,40,58,42,68,74,68,58,Medium,Medium,Right,3,4,235794,M,
Łukasz Fabiański,Poland,West Ham,Premier League,GK,38,190,83,79,78,80,68,14,49,79,50,47,15,13,32,50,17,22,57,14,12,18,53,44,73,22,63,16,11,14,12,13,66,25,65,43,Medium,Medium,Right,2,1,164835,M,78
Wesley Fofana,France,Chelsea,Premier League,CB,23,190,76,79,73,37,55,65,81,77,64,80,42,29,70,66,40,48,47,39,38,39,61,57,76,67,70,84,74,79,82,80,81,65,80,81,Medium,High,Right,3,2,248695,M,
Joe Gomez,England,Liverpool,Premier League,CB,26,188,77,79,82,27,68,69,79,77,75,87,51,20,78,68,24,26,62,71,29,46,63,65,78,74,72,79,74,77,81,79,86,64,81,79,Medium,Medium,Right,3,3,225100,M,
Ryan Gravenberch,Holland,Liverpool,Premier League,CM,21,190,77,79,72,76,78,84,68,72,76,69,74,76,80,78,69,58,80,75,69,74,80,76,73,85,76,74,58,69,69,59,76,80,75,52,Medium,Medium,Right,4,4,246104,M,
Dean Henderson,England,Crystal Palace,Premier League,GK,26,188,85,79,80,78,77,13,55,75,55,56,8,9,45,48,5,16,55,14,10,13,61,56,76,35,60,11,13,15,14,14,68,32,64,35,Medium,Medium,Right,3,1,233306,M,81
Ezri Konsa,England,Aston Villa,Premier League,CB,26,183,77,79,77,39,62,70,80,76,71,82,50,34,74,72,35,38,58,51,38,37,63,66,80,74,79,79,78,83,80,79,86,72,78,75,Medium,Medium,Right,3,2,227678,M,
Mohammed Kudus,Ghana,West Ham,Premier League,RW,23,177,70,79,90,74,71,86,59,75,92,88,77,76,77,73,68,64,75,62,48,67,85,92,73,83,76,59,52,60,66,46,73,79,76,68,Medium,Low,Left,3,4,245155,M,
Matheus Nunes,Portugal,Manchester City,Premier League,CM,25,183,76,79,83,71,74,83,73,77,79,86,79,71,80,79,59,62,77,59,58,74,79,71,81,82,80,78,53,75,75,74,74,83,74,76,High,Medium,Right,3,3,253124,M,
Robert Sánchez,Spain,Chelsea,Premier League,GK,26,197,85,79,79,77,75,15,45,79,45,44,12,14,51,55,15,15,65,12,14,12,40,35,73,37,65,8,15,18,13,15,66,40,66,33,Medium,Medium,Right,4,1,228789,M,80
Harry Maguire,England,Manchester Utd,Premier League,CB,30,193,10,79,46,57,67,68,78,82,44,47,61,48,77,77,49,68,67,51,46,57,36,33,75,73,75,80,85,76,79,70,83,64,90,84,High,Medium,Right,3,2,203263,M,
José Sá,Portugal,Wolves,Premier League,GK,30,192,84,79,80,75,70,17,52,78,52,53,17,15,48,42,17,11,50,18,21,12,62,40,77,19,45,18,14,14,19,15,72,34,75,35,Medium,Medium,Right,2,1,212442,M,81
Solly March,England,Brighton,Premier League,RM,29,180,77,79,75,70,76,83,67,66,77,74,78,69,78,70,56,55,77,79,67,76,74,75,75,79,79,69,48,70,68,65,66,82,61,58,High,High,Left,2,3,206594,M,
John McGinn,Scotland,Aston Villa,Premier League,CM,29,178,68,79,68,74,75,77,73,81,73,64,73,71,79,83,75,55,76,69,61,66,77,80,78,77,71,75,57,72,79,71,75,92,76,79,High,High,Left,2,3,210881,M,
Scott McTominay,Scotland,Manchester Utd,Premier League,CDM,27,193,88,79,59,74,72,77,77,84,58,59,72,70,77,78,64,60,70,65,57,68,58,49,74,75,76,80,78,75,79,72,83,80,83,90,Medium,High,Right,3,3,237238,M,
Ben Mee,England,Brentford,Premier League,CB,34,180,82,79,51,42,54,50,82,76,50,52,40,36,54,59,29,42,52,59,31,45,56,61,78,61,75,80,82,85,82,79,87,67,77,84,Medium,High,Left,3,2,189682,M,
Tyrone Mings,England,Aston Villa,Premier League,CB,30,196,77,79,71,44,67,68,78,83,61,79,53,37,75,75,34,45,57,70,37,53,55,46,79,67,71,77,77,79,78,80,85,74,86,86,High,Medium,Left,2,3,212419,M,
Gonzalo Montiel,Argentina,Nott'm Forest,Premier League,RB,26,175,70,79,82,62,69,74,76,81,83,82,77,58,72,66,43,82,70,73,39,64,82,75,76,73,75,78,71,76,76,75,84,93,72,87,High,Medium,Right,3,3,231340,M,
Stefan Ortega,Germany,Manchester City,Premier League,GK,31,185,88,79,76,73,86,20,52,79,51,53,10,15,40,55,13,24,66,18,12,16,42,54,78,38,56,27,20,29,12,15,73,33,73,29,Medium,Medium,Right,4,1,200159,M,84
Ivan Perišić,Croatia,Spurs,Premier League,LW,34,186,80,79,71,78,80,80,73,75,74,68,78,76,80,78,81,76,77,86,75,79,69,69,80,82,85,71,78,74,74,68,84,82,73,71,High,Medium,Right,5,4,181458,M,
Kalvin Phillips,England,Manchester City,Premier League,CDM,28,178,72,79,66,65,76,72,77,76,69,64,66,62,81,80,55,58,74,70,71,62,72,73,77,79,78,76,63,79,80,79,74,73,75,84,Medium,High,Right,3,3,224081,M,
Ethan Pinnock,Jamaica,Brentford,Premier League,CB,30,194,79,79,70,37,57,60,80,82,65,74,39,33,67,65,33,44,58,42,37,40,51,56,77,66,71,77,77,83,81,80,86,75,86,82,Medium,High,Left,3,2,238717,M,
Douglas Luiz,Brazil,Aston Villa,Premier League,CDM,25,175,66,79,66,72,82,76,74,72,68,64,61,70,82,83,58,47,82,83,78,87,74,75,78,81,82,77,62,76,77,69,71,78,68,77,High,Low,Right,2,3,236499,M,
Tomáš Souček,Czech Republic,West Ham,Premier League,CDM,28,192,86,79,56,70,71,72,80,83,51,60,74,70,75,75,59,70,72,68,53,63,49,48,78,75,73,81,82,79,82,77,83,87,84,77,High,Medium,Right,3,3,236792,M,
James Tarkowski,England,Everton,Premier League,CB,31,188,81,79,55,45,62,55,81,79,49,59,43,40,63,71,40,52,62,59,53,54,55,53,78,64,76,78,82,81,83,81,82,68,83,82,Medium,High,Right,4,2,202695,M,
Jurriën Timber,Holland,Arsenal,Premier League,CB,22,179,78,79,78,47,67,76,80,80,79,78,66,41,80,70,41,42,64,60,31,44,73,74,78,78,85,82,68,83,82,76,84,82,82,72,High,Medium,Right,3,3,251805,M,
Kurt Zouma,France,West Ham,Premier League,CB,29,190,95,79,61,51,61,50,79,83,52,68,49,47,67,67,47,59,60,49,59,60,47,49,76,62,73,77,83,79,79,77,86,62,92,84,Medium,Medium,Right,3,2,204311,M,
Tyler Adams,United States,AFC Bournemouth,Premier League,CDM,24,175,72,78,78,48,67,68,77,77,85,73,65,48,76,72,33,51,71,55,42,52,77,85,79,72,77,78,65,74,82,76,79,89,68,82,Medium,High,Right,3,3,232999,M,
Joachim Andersen,Denmark,Crystal Palace,Premier League,CB,27,192,90,78,53,50,70,64,78,81,50,55,45,40,79,87,43,44,67,49,52,64,47,50,78,75,77,78,77,78,78,77,81,70,86,82,Medium,Medium,Right,3,2,224221,M,
Michail Antonio,Jamaica,West Ham,Premier League,ST,33,180,82,78,78,74,73,78,54,82,72,83,79,75,75,72,70,75,73,74,60,66,65,74,81,76,73,45,84,48,56,53,92,70,86,84,High,Medium,Right,3,4,190717,M,
Alphonse Areola,France,West Ham,Premier League,GK,30,195,94,78,81,77,74,15,55,76,56,54,17,19,48,55,16,25,59,20,16,16,58,58,71,22,64,23,14,13,18,12,75,38,79,26,Medium,Medium,Right,3,1,193105,M,80
Serge Aurier,Côte d'Ivoire,Nott'm Forest,Premier League,RB,30,174,74,78,69,62,74,73,76,74,73,66,68,58,81,71,61,64,71,80,36,69,68,76,77,78,73,75,79,76,76,78,84,66,72,86,High,Medium,Right,3,3,197853,M,
Benoît Badiashile,France,Chelsea,Premier League,CB,22,194,75,78,61,47,67,58,79,76,53,68,47,38,78,77,31,46,68,48,34,56,42,35,77,67,75,79,79,79,80,76,82,64,84,69,Medium,High,Left,3,2,242578,M,
Saïd Benrahma,Algeria,West Ham,Premier League,LM,28,172,67,78,74,75,75,83,40,57,78,70,76,72,77,68,64,75,78,74,69,73,85,83,75,81,74,40,47,45,35,36,61,70,53,52,High,Medium,Right,4,4,220621,M,
Nélson Semedo,Portugal,Wolves,Premier League,RB,30,177,69,78,83,57,69,78,74,74,82,83,72,50,75,65,42,38,64,75,34,63,80,76,76,80,78,76,58,73,78,77,75,78,69,81,High,Medium,Right,3,4,227928,M,
Matheus Cunha,Brazil,Wolves,Premier League,ST,24,184,75,78,80,78,75,84,40,73,76,84,79,77,78,67,75,74,77,75,64,77,83,70,79,82,81,37,68,38,38,34,79,78,72,69,High,High,Right,4,4,240243,M,
Vladimír Coufal,Czech Republic,West Ham,Premier League,RB,31,175,76,78,65,56,72,72,77,80,70,61,68,50,75,73,61,49,68,78,42,74,64,76,77,75,72,76,70,77,81,77,77,84,75,86,High,High,Right,3,3,244470,M,
Mahmoud Dahoud,Germany,Brighton,Premier League,CM,27,178,68,78,67,68,77,84,66,68,77,59,66,60,83,79,66,55,80,67,53,78,86,85,77,83,75,76,44,74,61,59,62,83,59,74,High,Medium,Right,4,4,218339,M,
Felipe,Brazil,Nott'm Forest,Premier League,CB,34,190,84,78,52,44,56,55,78,81,48,55,34,40,69,65,44,47,50,45,32,32,56,47,74,61,71,79,81,78,78,75,83,62,88,88,Low,High,Right,3,2,207863,M,
Issa Diop,France,Fulham,Premier League,CB,26,194,92,78,64,37,53,52,79,80,56,70,42,30,68,63,48,44,43,37,34,32,52,48,73,62,70,79,78,78,79,78,84,67,87,79,Medium,Medium,Right,3,2,231633,M,
Cheick Doucouré,Mali,Crystal Palace,Premier League,CDM,23,180,73,78,66,57,69,76,75,77,64,67,67,56,77,77,48,52,74,54,47,59,70,67,76,77,77,80,58,74,77,74,72,78,76,77,Medium,High,Right,3,3,242619,M,
Martin Dúbravka,Slovakia,Newcastle Utd,Premier League,GK,34,190,80,78,78,76,79,19,46,76,48,44,12,10,48,59,11,20,58,12,13,15,47,60,72,33,59,25,12,19,15,14,64,38,60,28,Medium,Medium,Right,2,1,220407,M,80
Ansu Fati,Spain,Brighton,Premier League,LW,21,178,66,78,89,76,72,80,30,53,91,87,78,79,73,69,69,74,73,69,73,75,89,83,75,79,82,19,66,23,32,28,72,63,49,48,High,Medium,Right,4,4,253004,M,
Conor Gallagher,England,Chelsea,Premier League,CM,23,182,74,78,73,75,74,77,68,75,68,77,78,75,77,76,63,55,75,69,70,65,68,68,80,78,72,71,49,64,75,67,63,93,64,81,High,High,Right,2,3,238216,M,
Pascal Groß,Germany,Brighton,Premier League,CM,32,181,78,78,52,75,82,77,62,72,55,50,79,74,82,79,65,72,82,84,77,85,67,66,80,79,83,60,53,66,63,60,62,85,68,69,High,High,Right,4,4,190765,M,
Marc Guéhi,England,Crystal Palace,Premier League,CB,23,182,82,78,72,39,59,65,79,75,68,75,35,42,76,75,32,38,54,35,32,42,68,65,80,72,74,79,76,81,79,78,83,70,77,73,Medium,Medium,Right,4,2,241159,M,
Rico Henry,England,Brentford,Premier League,LB,26,170,66,78,89,41,62,71,74,72,91,87,67,40,69,57,33,43,55,68,39,49,89,91,76,74,72,74,53,78,78,75,75,80,65,78,High,High,Left,2,3,224494,M,
Nicolas Jackson,Senegal,Chelsea,Premier League,ST,22,186,78,78,76,79,63,82,42,69,76,76,76,83,73,61,76,60,62,55,54,46,74,69,70,80,62,35,76,41,38,39,85,73,73,51,High,Low,Right,3,3,259197,M,
Emerson Royal,Brazil,Spurs,Premier League,RB,24,181,79,78,72,62,71,74,75,77,71,73,73,57,78,65,44,48,65,75,47,73,70,67,74,76,65,74,72,75,77,78,81,80,74,80,High,Medium,Right,3,3,247204,M,
Mario Lemina,Gabon,Wolves,Premier League,CDM,30,184,85,78,68,67,75,76,75,77,67,68,69,59,79,78,66,68,72,71,66,77,69,68,76,77,78,77,68,76,77,71,76,77,76,79,Medium,Medium,Right,4,3,212811,M,
Sean Longstaff,England,Newcastle Utd,Premier League,CM,26,180,65,78,64,65,75,75,73,72,61,66,75,60,80,77,56,54,78,63,69,70,59,70,79,78,77,79,53,75,75,64,64,87,67,66,High,High,Right,3,2,237161,M,
Tyrell Malacia,Holland,Manchester Utd,Premier League,LB,24,169,67,78,83,56,69,78,74,77,82,83,57,50,77,65,57,46,62,70,50,62,84,90,72,74,75,77,58,70,80,81,77,83,71,84,Medium,High,Left,3,3,238041,M,
Konstantinos Mavropanos,Greece,West Ham,Premier League,CB,26,194,89,78,79,56,54,60,78,82,73,83,38,50,62,74,30,42,44,45,39,32,52,45,72,60,63,80,81,69,86,76,86,65,91,80,High,Medium,Right,4,2,242000,M,
Bryan Mbeumo,Cameroon,Brentford,Premier League,RW,24,171,75,78,83,77,72,79,45,74,87,79,80,77,72,65,78,75,75,75,70,74,87,75,76,76,72,48,62,44,41,37,79,78,69,80,High,High,Left,2,4,243014,M,
Neto,Brazil,AFC Bournemouth,Premier League,GK,34,190,84,78,79,76,76,19,54,76,56,52,11,15,36,41,12,22,42,11,13,12,59,49,76,24,64,15,14,17,14,15,68,40,61,40,Medium,Medium,Right,2,1,194404,M,77
Michael Olise,France,Crystal Palace,Premier League,RW,22,189,73,78,80,70,77,83,50,56,81,79,69,71,78,76,58,67,78,77,70,78,91,86,73,82,74,48,36,52,56,46,55,68,46,66,Medium,Medium,Left,2,4,247827,M,
Jacob Ramsey,England,Aston Villa,Premier League,LM,22,180,72,78,76,75,73,81,68,76,75,77,78,77,77,69,65,53,75,71,54,73,79,85,79,78,78,67,56,69,73,64,74,79,75,73,High,Medium,Right,4,3,246923,M,
Reguilón,Spain,Manchester Utd,Premier League,LB,27,178,68,78,82,57,74,77,75,70,83,81,76,53,77,71,43,42,73,79,43,73,76,75,75,77,74,76,72,75,77,74,82,72,65,75,High,Medium,Left,3,3,245279,M,
Pablo Sarabia,Spain,Wolves,Premier League,RM,31,174,70,78,69,73,80,80,57,60,72,67,77,72,81,77,64,72,81,81,74,83,81,80,77,81,76,58,61,60,54,49,69,67,59,49,High,Medium,Left,4,4,198950,M,
Luis Sinisterra,Colombia,AFC Bournemouth,Premier League,LM,24,172,60,78,89,72,70,85,53,61,92,87,76,73,75,65,73,55,73,68,48,64,93,87,74,81,77,50,69,56,48,47,78,70,56,56,High,Medium,Right,4,4,233500,M,
Emile Smith Rowe,England,Arsenal,Premier League,LW,23,182,72,78,76,71,75,83,32,62,76,76,80,73,80,67,60,64,78,74,58,72,80,75,78,81,78,28,36,37,30,31,60,72,61,52,High,High,Right,4,4,240273,M,
Takehiro Tomiyasu,Japan,Arsenal,Premier League,RB,25,188,84,78,71,33,67,69,80,79,72,71,58,29,75,70,30,37,63,65,37,48,69,67,78,74,72,78,74,81,81,79,84,77,80,78,Medium,High,Right,5,2,232938,M,
Mike Trésor,Belgium,Burnley,Premier League,LM,24,172,66,78,79,71,79,81,38,58,84,75,71,71,77,72,68,66,84,83,78,83,88,78,73,78,76,45,29,41,35,32,56,69,52,59,High,Low,Right,3,5,253150,M,
Micky van de Ven,Holland,Spurs,Premier League,CB,22,193,81,78,85,43,59,68,79,80,77,91,48,37,69,73,47,39,46,58,34,37,59,49,72,73,68,78,75,78,81,78,88,70,84,79,High,Medium,Left,3,3,264453,M,
Joël Veltman,Holland,Brighton,Premier League,RB,31,184,75,78,61,49,68,68,80,74,60,61,55,50,77,73,38,42,55,73,34,51,66,66,79,74,79,80,74,81,81,78,76,74,72,80,Medium,Medium,Right,4,2,208004,M,
James Ward-Prowse,England,West Ham,Premier League,CM,29,173,66,78,57,72,85,71,64,71,63,52,65,70,84,83,51,77,81,90,94,92,72,76,73,80,77,64,57,62,70,63,64,92,60,75,High,High,Right,3,3,205569,M,
Adam Webster,England,Brighton,Premier League,CB,28,191,75,78,69,31,62,69,79,76,63,73,26,30,77,73,27,24,55,50,25,27,62,57,76,74,78,76,78,82,80,75,83,69,79,75,Medium,Medium,Right,4,2,207616,M,
Joe Willock,England,Newcastle Utd,Premier League,CM,24,186,71,78,81,72,74,84,72,72,77,84,79,74,79,74,66,62,80,66,46,68,79,72,79,80,78,77,70,70,75,62,77,83,66,70,High,High,Right,3,3,237329,M,
Tosin Adarabioyo,England,Fulham,Premier League,CB,26,196,80,77,73,31,57,56,77,77,66,78,28,30,73,74,25,35,51,38,22,30,51,51,78,72,76,74,73,77,80,74,82,68,82,76,Low,Medium,Right,3,2,222104,M,
Taiwo Awoniyi,Nigeria,Nott'm Forest,Premier League,ST,26,189,85,77,77,76,59,72,32,81,70,83,79,78,69,56,68,70,53,57,35,55,64,62,77,70,63,33,77,25,27,23,89,68,88,77,High,Medium,Right,2,3,230978,M,
Philip Billing,Denmark,AFC Bournemouth,Premier League,CM,27,197,80,77,59,78,73,78,71,81,53,63,82,78,78,75,73,58,74,62,71,74,54,49,81,79,81,74,77,69,71,69,81,81,82,76,Medium,Medium,Left,3,3,220714,M,
Willian,Brazil,Fulham,Premier League,LM,35,175,77,77,72,77,77,82,49,55,76,68,77,75,78,71,59,79,79,75,82,83,82,78,75,79,83,55,31,43,55,50,56,60,56,45,Medium,Low,Right,4,4,180403,M,
Santiago Bueno,Uruguay,Wolves,Premier League,CB,25,190,76,77,50,31,55,47,78,78,52,49,30,20,73,68,20,40,50,30,35,36,44,49,77,69,67,79,76,78,78,75,79,73,80,77,Medium,High,Right,3,2,237658,M,
Dominic Calvert-Lewin,England,Everton,Premier League,ST,26,187,71,77,78,75,64,71,39,76,69,85,77,77,71,47,70,77,64,65,54,64,66,64,76,77,75,35,88,38,31,23,91,62,82,76,High,Medium,Right,3,3,221479,M,
Timothy Castagne,Belgium,Fulham,Premier League,RB,28,185,80,77,73,56,71,76,74,71,71,75,76,56,75,70,40,47,69,77,33,58,68,65,77,77,68,77,69,75,74,72,74,79,66,75,High,Medium,Right,3,3,222501,M,
Trevoh Chalobah,England,Chelsea,Premier League,CB,24,191,84,77,64,47,65,69,78,77,60,67,49,44,75,70,40,42,64,53,43,49,51,53,76,72,69,79,73,78,79,77,81,68,82,74,Medium,High,Right,3,3,230918,M,
Aaron Cresswell,England,West Ham,Premier League,LB,34,175,66,77,58,60,75,76,77,67,66,51,60,54,77,69,48,59,68,83,76,80,63,75,78,77,73,77,68,78,78,79,70,73,61,73,High,Medium,Left,3,3,189615,M,
Ben Davies,Wales,Spurs,Premier League,CB,30,181,76,77,64,58,72,70,78,72,63,65,60,58,78,75,48,54,64,71,48,72,64,68,81,76,76,78,73,79,79,78,75,70,70,79,Medium,Medium,Left,3,3,205923,M,
Craig Dawson,England,Wolves,Premier League,CB,33,188,77,77,44,47,59,48,80,76,46,42,56,49,66,62,29,66,51,65,24,45,50,48,78,63,69,80,83,79,79,79,80,67,78,79,Medium,Medium,Right,2,2,194806,M,
Eric Dier,England,Spurs,Premier League,CB,29,188,90,77,51,63,68,65,76,81,49,53,51,52,71,74,51,74,62,64,76,68,34,46,75,68,70,74,80,75,77,79,82,68,87,84,Medium,High,Right,2,2,202335,M,
Jérémy Doku,Belgium,Manchester City,Premier League,RM,21,173,77,77,91,67,68,85,25,65,94,89,72,70,73,61,59,51,71,67,44,63,92,87,74,77,72,18,37,22,28,25,69,63,68,58,Medium,Medium,Right,3,4,246420,M,
Nicolás Domínguez,Argentina,Nott'm Forest,Premier League,CDM,25,179,73,77,75,66,71,74,72,77,74,75,63,65,80,77,51,51,74,60,45,49,82,80,73,78,60,73,68,66,78,77,75,89,67,86,High,High,Right,5,3,237819,M,
Abdoulaye Doucouré,Mali,Everton,Premier League,CM,30,184,76,77,66,76,70,77,76,80,65,67,75,75,76,73,68,54,74,66,52,44,61,63,77,79,77,79,69,75,79,74,78,82,81,76,Medium,Medium,Right,3,3,208135,M,
Harvey Elliott,England,Liverpool,Premier League,CAM,20,168,67,77,75,64,75,81,46,52,79,71,79,64,78,70,60,59,80,75,57,61,87,87,72,79,76,48,40,45,50,42,51,74,41,52,High,Medium,Left,4,4,246174,M,
Fábio Vieira,Portugal,Arsenal,Premier League,CAM,23,176,61,77,74,71,77,78,40,53,75,73,73,69,79,76,65,69,82,73,68,74,76,69,71,79,75,33,46,41,42,35,57,62,48,51,High,Medium,Left,3,3,256958,M,
Pablo Fornals,Spain,West Ham,Premier League,LM,27,178,67,77,64,71,78,76,69,71,68,61,76,66,80,76,72,55,79,77,70,71,76,73,75,81,77,72,50,70,72,71,65,81,67,72,High,High,Right,3,4,226456,M,
Morgan Gibbs-White,England,Nott'm Forest,Premier League,CAM,23,178,70,77,75,72,75,80,57,69,77,73,74,73,78,76,64,58,76,67,71,73,83,74,75,79,74,58,58,57,57,56,73,78,66,62,High,High,Right,2,4,236015,M,
Bryan Gil,Spain,Spurs,Premier League,LW,22,175,65,77,75,67,74,82,31,41,77,74,78,73,75,72,64,52,71,79,72,68,89,79,76,78,81,30,34,31,32,30,47,45,34,52,High,Medium,Left,3,3,246785,M,
Idrissa Gueye,Senegal,Everton,Premier League,CDM,34,174,66,77,61,60,66,69,80,70,66,56,51,54,73,67,33,55,60,60,66,60,78,76,76,73,74,86,69,78,83,80,70,80,60,83,Low,High,Right,3,3,193474,M,
Andreas Pereira,Brazil,Fulham,Premier League,CAM,27,177,70,77,76,75,78,79,66,69,77,75,75,70,76,76,72,74,78,82,81,84,77,77,75,78,71,70,56,67,66,63,70,78,60,80,Medium,Medium,Right,4,4,208450,M,
Danny Ings,England,West Ham,Premier League,ST,31,178,73,77,70,80,69,73,45,68,74,66,81,80,74,61,75,82,70,66,70,72,74,71,80,78,79,46,78,38,45,34,82,67,68,67,High,High,Right,3,3,195859,M,
Curtis Jones,England,Liverpool,Premier League,CM,22,185,74,77,68,68,73,80,68,72,68,68,72,65,79,76,60,60,76,65,51,68,76,73,75,81,82,71,50,69,72,64,65,79,69,71,High,Medium,Right,4,4,242434,M,
Saša Kalajdžić,Austria,Wolves,Premier League,ST,26,200,93,77,55,75,68,74,46,71,57,53,81,82,77,64,73,57,75,59,47,50,52,45,78,78,74,34,87,39,46,47,87,67,83,44,Medium,Medium,Right,3,3,239901,M,
Michael Keane,England,Everton,Premier League,CB,30,191,82,77,52,49,63,59,79,77,50,53,29,50,70,70,40,48,60,57,33,53,52,50,75,64,71,77,81,79,79,76,83,61,85,77,Medium,Medium,Right,3,2,207599,M,
Justin Kluivert,Holland,AFC Bournemouth,Premier League,RM,24,171,67,77,88,73,71,81,38,63,88,88,72,71,71,66,67,66,74,77,58,72,86,82,67,77,71,30,56,43,35,30,74,67,60,63,High,Medium,Right,4,4,236920,M,
Clément Lenglet,France,Aston Villa,Premier League,CB,28,186,81,77,66,45,69,57,77,75,64,68,54,39,83,75,37,49,66,55,31,59,61,58,77,72,79,78,77,80,75,72,82,71,76,75,Medium,Medium,Left,4,2,220440,M,
Jefferson Lerma,Colombia,Crystal Palace,Premier League,CDM,29,179,70,77,68,67,68,70,76,79,67,69,63,62,75,70,56,58,58,64,65,66,67,74,74,76,73,82,69,74,75,75,76,81,75,88,Medium,Medium,Right,4,3,213991,M,
Pedro Neto,Portugal,Wolves,Premier League,LM,23,172,62,77,84,74,70,80,31,59,85,84,76,75,74,58,65,62,73,71,56,68,84,85,75,78,66,41,49,32,23,17,67,66,57,55,High,Medium,Left,4,4,238616,M,
Saša Lukić,Serbia,Fulham,Premier League,CM,27,183,77,77,59,68,77,81,68,72,62,56,70,65,82,78,68,70,80,69,70,72,65,69,71,81,77,67,58,65,72,72,67,81,69,69,Medium,Medium,Right,3,3,236699,M,
Noni Madueke,England,Chelsea,Premier League,RW,21,182,73,77,90,71,68,85,35,62,91,89,67,72,71,64,67,61,69,66,63,75,84,80,74,81,72,30,40,41,31,36,68,64,64,53,Medium,Low,Left,4,4,254796,M,
James Milner,England,Brighton,Premier League,CM,37,175,70,77,53,70,79,76,76,75,54,52,71,62,79,78,76,89,76,82,75,81,62,72,83,79,80,78,65,77,78,78,67,77,70,86,Medium,High,Right,4,3,138412,M,
Moussa Niakhaté,Senegal,Nott'm Forest,Premier League,CB,27,190,85,77,75,42,63,65,78,77,62,86,49,37,71,67,39,74,58,63,36,41,60,51,77,64,73,78,79,77,78,75,85,63,83,76,Medium,High,Left,3,2,225859,M,
Christian Nørgaard,Denmark,Brentford,Premier League,CDM,29,187,77,77,57,60,69,66,76,79,59,56,64,61,74,73,51,60,65,64,64,64,61,67,75,74,74,79,69,76,78,73,75,81,77,80,Medium,High,Right,3,3,210697,M,
Emerson,Italy,West Ham,Premier League,LB,29,176,79,77,76,63,75,79,73,64,78,75,70,51,77,73,51,55,67,78,80,81,71,74,75,80,77,76,60,74,75,75,71,72,59,66,Medium,Medium,Left,2,3,210736,M,
Nathan Redmond,England,Burnley,Premier League,RM,29,173,69,77,84,75,70,82,30,60,87,81,77,76,73,62,55,57,73,69,65,70,89,86,70,79,70,30,33,33,26,30,64,73,62,39,High,Medium,Right,3,4,198719,M,
Oliver Skipp,England,Spurs,Premier League,CDM,23,175,70,77,64,47,68,69,75,71,69,60,54,41,78,76,38,54,71,52,42,61,65,74,76,74,74,78,51,77,77,78,65,73,66,80,Medium,High,Right,3,2,241042,M,
Manor Solomon,Israel,Spurs,Premier League,LW,24,170,67,77,83,72,75,85,43,58,84,82,74,75,78,72,46,58,73,73,72,79,84,82,66,76,78,35,38,50,47,35,65,66,64,30,High,High,Right,4,4,246791,M,
André Gomes,Portugal,Everton,Premier League,CDM,30,188,84,77,45,67,76,75,72,76,46,44,72,62,80,79,69,55,78,65,67,81,60,61,74,80,84,74,69,73,72,65,70,74,77,77,Low,Medium,Right,4,4,211575,M,
